,EXT_SOURCE_2,EXT_SOURCE_3,CREDIT_TO_ANNUITY_RATIO,DAYS_BIRTH,PROPORTION_LIFE_EMPLOYED,CREDIT_TO_ANNUITY_RATIO_BY_AGE,DAYS_ID_PUBLISH,DAYS_REGISTRATION,DAYS_EMPLOYED,DAYS_LAST_PHONE_CHANGE,INCOME_TO_ANNUITY_RATIO_BY_AGE,AMT_ANNUITY,INCOME_TO_ANNUITY_RATIO,INCOME_TO_CREDIT_RATIO,AMT_CREDIT,REGION_POPULATION_RELATIVE,AMT_GOODS_PRICE,INCOME_TO_FAMILYSIZE_RATIO,AMT_INCOME_TOTAL,HOUR_APPR_PROCESS_START,AMT_REQ_CREDIT_BUREAU_YEAR,OBS_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,CNT_FAM_MEMBERS,AMT_REQ_CREDIT_BUREAU_QRT
119312,0.5595853586771128,0.4311917977993083,34.19972640218878,-13872,0.2750865051903114,-474418.6046511628,-3833,-1095.0,-3816.0,-1518.0,-154186.04651162788,26316.0,11.114911080711355,0.325,900000.0,0.031329,900000.0,146250.0,292500.0,20,3.0,0.0,0.0,2.0,0.0
72932,0.11983328719972698,0.7981372313187245,27.659282941310806,-23852,0.09995621504751988,-659729.2167161453,-4320,-4321.0,-2384.155641313444,0.0,-136172.64215574332,19705.5,5.709065996802923,0.20640686922060766,545040.0,0.025164,450000.0,112500.0,112500.0,11,0.0,5.0,5.0,1.0,0.0
253286,0.6603877376409378,0.5495965024956946,28.69939998309811,-13455,0.1617985878855444,-386150.4267725851,-4374,-141.0,-2177.0,-1104.0,-79595.19986478493,53248.5,5.915659596044959,0.2061248527679623,1528200.0,0.00733,1350000.0,78750.0,315000.0,14,4.0,1.0,1.0,4.0,1.0
303377,0.6419377570877453,0.5954562029091491,22.70147559591373,-13513,0.13697920520979798,-306765.0397275823,-4058,-7552.0,-1851.0,-1253.0,-35789.2546348846,23787.0,2.6485054861899355,0.11666666666666667,540000.0,0.028663,540000.0,31500.0,63000.0,10,1.0,0.0,0.0,2.0,0.0
137168,0.4477980761948447,0.7209441499436497,23.49281214666451,-20534,0.11610770630726815,-482401.40461960906,-4093,-9771.0,-2384.155641313444,-201.0,-72968.5026651591,27859.5,3.5535454692295265,0.15126096642006545,654498.0,0.006207,585000.0,49500.0,99000.0,11,0.0,3.0,3.0,2.0,0.0
35135,0.08588995894313244,0.3344541255096772,20.39706282295349,-21968,0.10852857070800456,-448082.67609464243,-4385,-1434.0,-2384.155641313444,-270.0,-119488.71362523794,16546.5,5.439216752787599,0.26666666666666666,337500.0,0.018209,337500.0,45000.0,90000.0,9,0.0,0.0,0.0,2.0,0.0
47253,0.6195589199110733,0.5108556388496169,30.789719626168228,-16068,0.1830346029375156,-494729.21495327103,-1606,-10025.0,-2941.0,0.0,-225252.3364485981,19260.0,14.018691588785044,0.4553042950371832,593010.0,0.04622,495000.0,270000.0,270000.0,14,1.8999537571385068,0.0,0.0,1.0,0.26547538037573265
305872,0.7095523250918052,0.656158373001177,26.254670301928712,-20382,0.2808360317927583,-535122.6900939109,-1349,-6576.0,-5724.0,-1741.0,-72035.74674341109,44563.5,3.5342825406442486,0.1346153846153846,1170000.0,0.030755,1170000.0,78750.0,157500.0,19,3.0,1.0,0.0,2.0,2.0
211278,0.4833831757149026,0.5108556388496169,12.410748228788664,-16033,0.5667061685274122,-198981.52635216864,-3324,-2148.0,-9086.0,-2199.0,-152378.60722308626,26041.5,9.504060825989287,0.7657927347154732,323194.5,0.010643000000000001,279000.0,49500.0,247500.0,11,5.0,2.0,2.0,5.0,0.0
245727,0.6029066268525758,0.7826078370261895,23.601604909133826,-14660,0.4608458390177354,-345999.52796790184,-1468,-5977.0,-6756.0,-469.0,-207599.7167807411,38133.0,14.160962945480291,0.6,900000.0,0.003540999999999999,900000.0,90000.0,540000.0,15,2.0,3.0,3.0,6.0,1.0
